모델명,가격,외장,연비,연료,엔진형식,배기량,제로백,충전주행거리
쌍용 토레스 (1세대),"2,740",SUV (중형),11.2km/l,가솔린,직렬 4기통,1497cc,-,0
기아 셀토스 F/L (1세대),"2,160",SUV (소형),12.9km/l,가솔린,직렬 4기통,1598cc,-,0
기아 쏘렌토 하이브리드 (4세대),"3,745",SUV (중형),15.3km/l,하이브리드,직렬 4기통,1598cc,-,0
폭스바겐 티구안 올스페이스 (2세대),"5,098",SUV (중형),14.5km/l,가솔린,직렬 4기통,1984cc,-,0
벤츠 E클래스 세단 F/L (5세대),"6,730",세단 (대형),13.2km/l,가솔린,직렬 4기통,1991cc,7,0
현대 팰리세이드 F/L (1세대),"3,867",SUV (대형),12.4km/l,가솔린,V6,3778cc,-,0
기아 스포티지 (5세대),"2,474",SUV (중형),14.5km/l,가솔린,직렬 4기통,1598cc,-,0
볼보 XC40 F/L (1세대),"4,840",SUV (중형),10.1km/l,가솔린,직렬 4기통,1969cc,8.5,0
현대 싼타페 하이브리드 F/L (4세대),"3,414",SUV (중형),15.3km/l,하이브리드,직렬 4기통,1598cc,-,0
제네시스 G80 (3세대),"5,311",세단 (대형),14.6km/l,가솔린,직렬 4기통,2497cc,-,0
기아 카니발 (4세대),"3,180",밴 (대형),13.1km/l,가솔린,V6,3470cc,-,0
르노코리아 QM6 F/L (1세대),"2,489",SUV (중형),12.5km/l,LPG,직렬 4기통,1998cc,-,0
현대 그랜저 F/L (6세대),"3,392",세단 (대형),11.9km/l,가솔린,직렬 4기통,2497cc,-,0
제네시스 GV70 (1세대),"4,904",SUV (중형),13.5km/l,가솔린,직렬 4기통,2497cc,-,0
기아 카니발 하이리무진 (4세대),"6,066",밴 (대형),11.0km/l,가솔린,V6,3470cc,-,0
BMW 5시리즈 세단 F/L (7세대),"6,370",세단 (중형),15.6km/l,가솔린,직렬 4기통,1998cc,7.8,0
제네시스 GV80 (1세대),"6,136",SUV (중형),11.8km/l,가솔린,직렬 4기통,2497cc,-,0
현대 캐스퍼 (1세대),"1,375",SUV (경형),14.3km/l,가솔린,직렬 3기통,998cc,-,0
포드 익스플로러 (6세대),"6,310",SUV (대형),9.3km/l,가솔린,직렬 4기통,2261cc,-,0
BMW X7 F/L (1세대),"13,030",SUV (대형),10.5km/l,가솔린,직렬 6기통,2998cc,-,0
벤츠 S클래스 세단 (7세대),"14,060",세단 (대형),12.0km/l,디젤,직렬 6기통,2925cc,6.4,0
기아 니로 하이브리드 (2세대),"2,660",SUV (소형),20.8km/l,하이브리드,직렬 4기통,1580cc,-,0
BMW 3시리즈 세단 F/L (7세대),"5,180",세단 (중형),14.3km/l,가솔린,직렬 6기통,2998cc,4.4,0
르노코리아 XM3 (1세대),"1,865",SUV (소형),13.8km/l,가솔린,직렬 4기통,1598cc,-,0
현대 스타리아 (1세대),"2,596",밴 (대형),12.3km/l,디젤,직렬 4기통,2199cc,-,0
기아 쏘렌토 (4세대),"3,002",SUV (중형),14.3km/l,가솔린,직렬 4기통,2497cc,-,0
포드 브롱코 4도어 (6세대),"6,900",SUV (중형),8.2km/l,가솔린,V6,2694cc,-,0
제네시스 G70 슈팅브레이크 F/L (1세대),"4,310",왜건 (중형),10.4km/l,가솔린,직렬 4기통,1998cc,-,0
현대 아이오닉 6 (1세대),"5,400",세단 (중형),6.2km/kWh,전기,모터,0,-,524km
아우디 A6 세단 (8세대),"6,744",세단 (중형),15.0km/l,디젤,직렬 4기통,1968cc,8.1,0
현대 투싼 하이브리드 (4세대),"3,009",SUV (중형),16.2km/l,하이브리드,직렬 4기통,1598cc,-,0
제네시스 G90 (4세대),"8,957",세단 (대형),9.3km/l,가솔린,V6,3470cc,-,0
쉐보레 트래버스 F/L (2세대),"5,470",SUV (대형),8.3km/l,가솔린,V6,3564cc,-,0
현대 아반떼 (7세대),"1,866",세단 (중형),14.9km/l,가솔린,직렬 4기통,1598cc,-,0
쌍용 렉스턴 스포츠 F/L (2세대),"2,519",픽업트럭 (중형),10.6km/l,디젤,직렬 4기통,2157cc,-,0
쉐보레 트레일블레이저 (1세대),"2,489",SUV (소형),12.9km/l,가솔린,직렬 3기통,1341cc,-,0
