,모델명,가격,외장,연료,충전주행거리_bin,제조 회사,프리미엄 브랜드,scaled_가격log,scaled_연비,scaled_배기량,scaled_충전주행거리,clusters
0,쌍용 토레스 (1세대),2740,SUV (중형),가솔린,내연차량,쌍용,0,0.308167313,0.153932058,0.221712085,0,1
1,기아 셀토스 F/L (1세대),2160,SUV (소형),가솔린,내연차량,기아,0,0.258659953,0.184718469,0.236670616,0,1
2,기아 쏘렌토 하이브리드 (4세대),3745,SUV (중형),하이브리드,내연차량,기아,0,0.373211654,0.228181639,0.236670616,0,1
3,폭스바겐 티구안 올스페이스 (2세대),5098,SUV (중형),가솔린,내연차량,폭스바겐,0,0.437420999,0.213693916,0.293838863,0,2
4,벤츠 E클래스 세단 F/L (5세대),6730,세단 (대형),가솔린,내연차량,벤츠,1,0.495242524,0.190151366,0.294875592,0,2
5,현대 팰리세이드 F/L (1세대),3867,SUV (대형),가솔린,내연차량,현대,0,0.379885255,0.175663642,0.559537915,0,1
6,기아 스포티지 (5세대),2474,SUV (중형),가솔린,내연차량,기아,0,0.286910555,0.213693916,0.236670616,0,1
7,볼보 XC40 F/L (1세대),4840,SUV (중형),가솔린,내연차량,볼보,1,0.426608977,0.134011439,0.291617299,0,2
8,현대 싼타페 하이브리드 F/L (4세대),3414,SUV (중형),하이브리드,내연차량,현대,0,0.353947943,0.228181639,0.236670616,0,1
9,제네시스 G80 (3세대),5311,세단 (대형),가솔린,내연차량,제네시스,1,0.445942652,0.215504881,0.369816351,0,2
10,기아 카니발 (4세대),3180,밴 (대형),가솔린,내연차량,기아,0,0.339167292,0.1883404,0.513921801,0,1
11,르노코리아 QM6 F/L (1세대),2489,SUV (중형),LPG,내연차량,르노코리아,0,0.288168754,0.314886162,0.295912322,0,1
12,현대 그랜저 F/L (6세대),3392,세단 (대형),가솔린,내연차량,현대,0,0.352602143,0.166608816,0.369816351,0,1
13,제네시스 GV70 (1세대),4904,SUV (중형),가솔린,내연차량,제네시스,1,0.429343842,0.195584262,0.369816351,0,2
14,기아 카니발 하이리무진 (4세대),6066,밴 (대형),가솔린,내연차량,기아,0,0.473615728,0.150310127,0.513921801,0,2
15,BMW 5시리즈 세단 F/L (7세대),6370,세단 (중형),가솔린,내연차량,BMW,1,0.483796615,0.233614535,0.295912322,0,2
16,제네시스 GV80 (1세대),6136,SUV (중형),가솔린,내연차량,제네시스,1,0.476004511,0.16479785,0.369816351,0,2
17,현대 캐스퍼 (1세대),1375,SUV (경형),가솔린,내연차량,현대,0,0.164666344,0.210071985,0.147808057,0,1
18,포드 익스플로러 (6세대),6310,SUV (대형),가솔린,내연차량,포드,0,0.481826267,0.119523715,0.334863744,0,2
19,BMW X7 F/L (1세대),13030,SUV (대형),가솔린,내연차량,BMW,1,0.632801681,0.1412553,0.444016588,0,0
20,벤츠 S클래스 세단 (7세대),14060,세단 (대형),디젤,내연차량,벤츠,1,0.648642645,0.156731734,0.433204976,0,0
21,기아 니로 하이브리드 (2세대),2660,SUV (소형),하이브리드,내연차량,기아,0,0.301999329,0.327784735,0.234004739,0,1
22,BMW 3시리즈 세단 F/L (7세대),5180,세단 (중형),가솔린,내연차량,BMW,1,0.440743048,0.210071985,0.444016588,0,2
23,르노코리아 XM3 (1세대),1865,SUV (소형),가솔린,내연차량,르노코리아,0,0.228097013,0.201017158,0.236670616,0,1
24,현대 스타리아 (1세대),2596,밴 (대형),디젤,내연차량,현대,0,0.296929925,0.161872429,0.32568128,0,1
25,기아 쏘렌토 (4세대),3002,SUV (중형),가솔린,내연차량,기아,0,0.327176536,0.210071985,0.369816351,0,1
26,포드 브롱코 4도어 (6세대),6900,SUV (중형),가솔린,내연차량,포드,0,0.500436356,0.099603096,0.398992891,0,2
27,제네시스 G70 슈팅브레이크 F/L (1세대),4310,왜건 (중형),가솔린,내연차량,제네시스,1,0.40246426,0.139444335,0.295912322,0,2
